,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
58,全世界排名第一的披萨!一年卖1260万！到底有多好吃？,https://www.bilibili.com/video/BV14m4y1F7D3,HOLA小测佬,0,3482376,25365,55204,212551,0,6568,72763
59,耗费了2个通宵整好的牛皮和牛蹄，简直不要太好吃！,https://www.bilibili.com/video/BV1AV4y1V7ZD,孤独美食咖,0,329137,986,1592,30850,0,845,995
60,不 会 翻 车 的 豆 腐,https://www.bilibili.com/video/BV1b84y1i7ZW,阿林吃土,0,230963,383,3216,15708,0,888,8389
61,空 气 炸 锅 牛 逼 症 ⑧,https://www.bilibili.com/video/BV1Yt4y1T7sQ,神奇海挪,0,271884,826,3002,33775,0,652,1631
62,排队三小时才能吃上的米其林方便面！百元一份！到底能有多好吃？,https://www.bilibili.com/video/BV1sW4y1j78T,小周啊不是神经,0,435339,543,583,13855,0,755,1052
63,今天有一位搞笑博主来我家玩，你们猜猜是谁？,https://www.bilibili.com/video/BV1Nd4y1171j,凉湉子的日常,0,301384,79,146,30544,0,69,1070
64,都要照顾好自己呀铁子们,https://www.bilibili.com/video/BV1Ae411V7o2,小潘儿同学啊,0,6678662,2064,73669,468534,0,3541,25577
65,【木下佑香】酸辣粉、拉面、红油苕皮、麻辣王子，被中国速食折服的一天！是好吃的辣！立马去下单！,https://www.bilibili.com/video/BV1hd4y1y7fc,木下佑香official,0,321611,1785,6288,19039,0,440,1382
66,嘎嘎代炒：价值3000元的16个菜，赚380元，给姑娘买大好吃的！,https://www.bilibili.com/video/BV11V4y1G7mG,冰城dp大鹏,0,325211,474,8267,20359,0,194,971
67,黑珍珠火锅自助！实现毛肚千层肚自由！,https://www.bilibili.com/video/BV15G411A7kB,密子君,0,336777,874,2512,21252,0,1351,1476
68,家常菜大学问！白菜爽脆，粉条红亮入味，那叫一个香~丨圆白菜炒粉条,https://www.bilibili.com/video/BV1mP4y1S7RY,老饭骨,0,322695,468,3013,20434,0,1762,7594
