,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
57,大爷你是真正的捕鱼达人,https://www.bilibili.com/video/BV1K8411Y7jC,呼呼呼hgj,0,254870,21,11,1622,0,160,102
58,你们要的咏春拳教学来啦,https://www.bilibili.com/video/BV17D4y1b7sk,有树-彭于晏版,0,695460,222,6348,63690,0,1822,32147
59,以后少打点游戏吧！,https://www.bilibili.com/video/BV1w14y1L7wr,黄文祺,0,143736,127,206,15616,0,95,375
60,纳什离名教头更进一步了！#NBA#篮球,https://www.bilibili.com/video/BV1Y14y1L7tm,小Q体育,0,206009,11,30,5348,0,10,143
61,这种球只能用从天而降的杆法才能打进去，第一次见，大家有没有看清楚球被打飞起来多高才进去的，真是太厉害了！,https://www.bilibili.com/video/BV1WP4y1m73Y,高级台球技术俱乐部,0,210231,19,66,5460,0,76,239
62,欧文回应宣传反犹太电影，与记者发生激烈交锋,https://www.bilibili.com/video/BV1tD4y1b7n2,篮球字幕,0,203438,111,77,3505,0,1907,581
63,10秒内给你注射快乐剂。,https://www.bilibili.com/video/BV1tK411U7Do,随便杀杀咯,0,194971,30,69,6831,0,50,1178
64,足球场上的超级搞笑时刻,https://www.bilibili.com/video/BV1UW4y1E7BN,Maniac足球,0,344056,93,113,11022,0,97,653
65,王治郅NBA五佳球：没看过大郅打球的人根本不知道他有多强！,https://www.bilibili.com/video/BV1ge411G7P5,篮球大盘鸡,0,185971,344,563,7105,0,248,298
66,一个动作 可调动80%肌肉 简称脂肪杀手,https://www.bilibili.com/video/BV1eP4y1S729,徒手健身-可乐,0,138458,76,796,10071,0,484,5963
67,当东契奇对上西蒙斯，东契奇多样的进攻手段真的很难被限制。 东契奇  篮球教学,https://www.bilibili.com/video/BV11m4y1F7QP,上学精绝兽神,0,213990,4,19,2519,0,23,254
68,【4K修复】世界杯50大进球（下集）,https://www.bilibili.com/video/BV1kg411z7yH,_YMJ_,0,113797,1437,4419,5890,0,486,2836
69,JDG  加油！,https://www.bilibili.com/video/BV1se411G7TN,李景亮mma,0,136423,67,960,13732,0,802,220
70,上运动生理学课被老师叫讲台上展示肌肉,https://www.bilibili.com/video/BV1wW4y1E7Wd,广毅爱健身,0,2508888,92,1575,73797,0,1963,4599
71,“人生仅有一次的绝景！”,https://www.bilibili.com/video/BV1iD4y1b7Xn,好的比赛开始,0,162738,478,3622,11823,0,319,4560
72,安东尼见面也得叫一声大哥，拉文被吓得不敢说话，NBA没人敢惹的佩科维奇,https://www.bilibili.com/video/BV1be411G7Ep,篮球低音泡,0,224175,23,32,6165,0,12,221
73,这个前锋，治好了一个国家40年的精神内耗！,https://www.bilibili.com/video/BV1G14y1L7LE,足球故事-李治霖,0,304359,2462,8958,19775,0,1219,3377
74,李景亮曝一场比赛能赚100到500w美金，张国伟直呼跟他混,https://www.bilibili.com/video/BV1nW4y1j7qT,白大拿-,0,199942,114,15,2676,0,77,121
